,0
0,189.53595535714285
1,190.84407397959183
2,190.9464375
3,192.2573392857143
4,192.47079974489796
5,192.5598469387755
6,192.01092474489795
7,192.18114030612244
8,192.15526658163265
9,192.58878443877552
10,192.43035841836735
11,192.82165306122448
12,192.7652512755102
13,193.0219681122449
14,192.76660459183674
15,193.09650510204082
16,192.80745663265307
17,193.1124630102041
18,192.5045267857143
19,189.71808673469388
20,188.7235051020408
21,190.2894043367347
22,191.35460204081633
23,192.51108801020408
24,192.7598112244898
25,193.0908137755102
26,192.83917602040816
27,192.78850892857142
28,192.57260331632654
29,192.36864030612244
30,192.316256377551
31,192.52742857142857
32,192.44581505102042
33,192.21608035714286
34,192.19917474489796
35,192.22983545918368
36,192.34902423469387
37,192.56535076530614
38,192.3730943877551
39,190.69615178571428
40,188.6732206632653
41,189.54363520408162
42,190.31833290816326
43,191.17679974489795
44,191.6413456632653
45,192.07633418367348
46,192.02580102040815
47,191.7216543367347
48,191.77839668367346
49,192.15719770408163
50,192.2851926020408
51,192.50314795918368
52,192.76641198979593
53,193.17164030612244
54,193.12786224489795
55,193.18886224489796
56,193.0347155612245
57,193.14956887755102
58,192.9311568877551
59,193.06063137755103
60,191.6681556122449
61,188.8324681122449
62,188.7415
63,190.35145535714287
64,191.3362155612245
65,191.84729081632653
66,192.0297767857143
67,192.25386096938774
68,192.07822448979593
69,191.97367474489795
70,191.82217474489795
71,192.16126403061224
72,192.46760586734695
73,192.60483163265306
74,192.7996237244898
75,192.99363775510204
76,192.8724068877551
77,193.0385943877551
78,192.96732780612246
79,192.94766709183673
80,192.95891836734694
81,193.27690816326532
82,193.20857780612246
83,190.84089923469386
84,188.5989642857143
85,190.0564107142857
86,191.1915931122449
87,192.28958163265307
88,192.97223852040815
89,193.1707780612245
90,192.6980076530612
91,192.3305612244898
92,192.10633035714287
93,192.15675892857143
94,192.3361211734694
95,192.50055357142858
96,192.7175918367347
97,192.72745025510204
98,192.87073979591835
99,192.7886594387755
100,192.89903826530613
101,192.91369132653062
102,192.95160714285714
103,192.91048596938776
104,192.96139795918367
105,192.33710204081632
106,189.22156632653062
107,188.95245535714287
108,190.4730880102041
109,192.0154056122449
110,192.85223341836735
111,192.9932806122449
112,192.94359821428571
113,192.516443877551
114,192.21876147959185
115,192.3873367346939
116,192.83348086734694
117,192.95339413265307
118,193.07178698979592
119,193.00721301020408
120,192.82664795918367
121,192.39629974489796
122,192.62242729591836
123,192.7213775510204
124,192.85115433673468
125,192.64991964285716
126,192.7579655612245
127,192.0304974489796
128,188.5278456632653
